id,tutorial_detail_id,slide,slide_user_id,slide_status,code,code_user_id,code_status,assignment,assignment_user_id,assignment_status,prerequisite_id,prerequisite_user_id,prerequisite_status,keyword,keyword_user_id,keyword_status,created,updated,additional_material,additional_material_status,additional_material_user_id
1,1,Installing-MikTeX-Slides.zip,1479,4,Installing-MikTeX-Codefiles.zip,1479,4,Installing-MikTeX-Assignment.txt,1479,4,,1479,6,"Installing Latex, Adobe reader, Sumatra Readers, TexnicCenter, video tutorial.",1,4,2014-07-27 13:07:30,2016-07-04 10:05:46,,6,1479
2,2,What-is-Compiling-Slides.zip,1479,4,What-is-Compiling-Codefiles.zip,1479,4,What-is-Compiling-Assignment.txt,1479,4,519,1479,4,"Latex, Creating a simple document using Latex, video tutorial.",1,4,2014-07-27 13:07:31,2014-12-16 07:21:55,,6,1479
3,3,MikTeX-Updates-Slides.zip,1479,4,MikTeX-Updates-Codefiles.zip,1479,4,MikTeX-Updates-Assignment.txt,1479,4,1,1479,4," Latex, Updating and Including missing packages in Miktex, video tutorial.",1,4,2014-07-27 13:07:31,2014-07-27 13:15:47,,6,1479
4,4,Why-Scilab-Slides.zip,1479,4,"",1479,6,"",1479,6,,1,6,"Scilab, Why Scilab, Capabilities of Scilab package, benefits of shifting to Scilab,  video tutorial",1,4,2014-07-27 13:07:31,2014-07-27 13:07:31,,6,1479
5,5,Installing-Slides.zip,1479,4,"",1479,6,"",1479,6,4,1479,4,"Installation, Scilab,Windows, video tutorial.",1,4,2014-07-27 13:07:31,2014-07-27 13:15:48,,6,1479
6,6,Getting-Started-Slides.zip,1479,4,"",1479,6,Getting-Started-Assignment.pdf,1479,4,5,1479,4,"Simple calculations, arithmetic, logarithm, exponential, trigonometric functions. diary, file storing operations, working directory, video tutorial,  Scilab.",1,4,2014-07-27 13:07:32,2014-12-20 02:13:03,,6,1479
7,7,Letter-Writing-Slides.zip,1479,4,Letter-Writing-Codefiles.zip,1479,4,Letter-Writing-Assignment.pdf,7,4,519,1479,4,"Latex, Writing Letters using Latex,Creation of source file, compilation to produce pdf file, Viewing file,  video tutorial.",1,4,2014-07-27 13:07:32,2019-12-17 11:25:03,,6,1479
8,8,Report-Writing-Slides.zip,1479,4,Report-Writing-Codefiles.zip,7,2,Report-Writing-Assignment.txt,1479,4,7,1479,4,"Latex, Report writing, video tutorial.",1,4,2014-07-27 13:07:32,2017-06-21 14:54:10,,6,7
9,9,Basic-Commands-Slides.zip,16102,4,"",16102,6,Basic-Commands-Assignment.txt,16102,4,1131,1479,4,"Linux, Shell,commands,options,help,apropos,man, video tutorial.",1,4,2014-07-27 13:07:33,2019-07-26 09:32:27,,6,16102
10,10,Mathematical-Typesetting-Slides.zip,8,4,Mathematical-Typesetting-Codefiles.zip,8,4,Mathematical-Typesetting-Assignment.pdf,7,4,806,8,4,"video tutorial, latex  tutorial, dollar sign,  greek symbols, spaces  in  maths,  minus sign,  fractions,  braces, subscripts, superscripts, amsmath package, matrix, pmatrix, bmatrix ",8,4,2014-07-27 13:07:33,2019-12-12 11:57:54,,6,8
11,11,Equations-Slides.zip,1479,4,Equations-Codefiles.zip,1479,4,Equations-Assignment.pdf,1479,4,10,1479,4,"latex, equations, amsmath, align*, intertext, matrix, ampersand, spoken tutorial, video tutorial.",1479,4,2014-07-27 13:07:33,2019-10-28 04:43:37,,6,7
12,12,Tables-and-Figures-Slides.zip,1479,4,Tables-and-Figures-Codefiles.zip,7,4,Tables-and-Figures-Assignment.pdf,7,4,11,1479,4,"Latex, Create Table using tabular environment, including tables in latex documents, video tutorial.",1,4,2014-07-27 13:07:33,2019-12-12 11:58:10,,6,7
13,13,Beamer-Slides.zip,1479,4,Beamer-Codefiles.zip,7,4,Beamer-Assignment.pdf,7,4,519,1479,4," Latex, beamer, video tutorial.",1,4,2014-07-27 13:07:33,2019-12-17 11:26:04,,6,7
14,14,General-Purpose-Utilities-in-Linux-Slides.zip,16102,4,"",16102,6,General-Purpose-Utilities-in-Linux-Assignment.txt,16102,4,9,1479,4,"Linux, echo,date, time, calender,cat,passwd,root user, files, directories, video tutorial.",1,4,2014-07-27 13:07:33,2014-07-27 13:15:47,,6,16102
15,15,Matrix-Operations-Slides.zip,1479,4,"",1479,6,Matrix-Operations-Assignment.pdf,1479,4,30,40501,4,"Accessing the element of Matrix, determinant, inverse and eigevalue , special matrices, video tutorial,  Scilab.",1,4,2014-07-27 13:07:34,2017-01-17 05:56:34,,6,1479
16,16,Bibliography-Slides.zip,1479,4,Bibliography-Codefiles.zip,7,4,Bibliography-Assignment.pdf,7,4,806,1479,4,"Latex, BibTex, video tutorial.",1,4,2014-07-27 13:07:34,2019-12-17 11:26:32,,6,1479
17,17,Inside-story-of-Bibliography-Slides.zip,1479,4,Inside-story-of-Bibliography-Codefiles.zip,7,4,Inside-story-of-Bibliography-Assignment.txt,1479,4,16,1479,4,"Latex, BibTex, Producing pdf file, video tutorial.",1,4,2014-07-27 13:07:34,2017-06-21 15:12:09,,6,7
18,18,Simple-filters-Slides.zip,16102,4,Simple-filters-Codefiles.zip,7,4,Simple-filters-Assignment.pdf,16102,4,14,1479,4,"Linux, head, tail, sort, cut, paste, grep, sed, video tutorial.",1,4,2014-07-27 13:07:34,2014-10-29 01:52:21,,6,16102
19,19,File-System-Slides.zip,16102,4,"",16102,6,File-System-Assignment.pdf,16102,4,9,1479,4,"Linux, Files, directories, make directory, remove directory, copy directory , video tutorial",7,4,2014-07-27 13:07:34,2020-04-21 12:52:30,,6,16102
20,20,Introduction-to-Geogebra-Slides.zip,1479,4,"",1479,6,Introduction-to-Geogebra-Assignment.txt,1479,4,,1479,6,"Geogebra, Algebra view, Input bar, Axis, grid, Pencil tools, Segment between two points tool, Distance tool, free objects, dependent objects, Graphics view, video tutorial.",1,4,2014-07-27 13:07:34,2014-09-11 11:52:10,,6,1479
21,21,Spreadsheet-View-Basics-Slides.zip,1479,4,"",1479,6,Spreadsheet-View-Basics-Assignment.txt,1479,4,20,1479,4,"geogebra, spreadsheet view basics, video tutorial",7,4,2014-07-27 13:07:34,2017-04-10 10:32:24,,6,1479
22,22,Radian-Measure-Slides.zip,1479,4,"",1479,6,Radian-Measure-Assignment.pdf,7,4,295,1479,4,"Geogebra, Length of an arc, radians and sectors, Circle with centre and radius, Circular arc with centre between two points, Segment between two points, Input Bar, video tutorial.",1,4,2014-07-27 13:07:35,2018-05-17 09:32:06,,6,1479
23,23,File-Attributes-Slides.zip,16102,4,File-Attributes-Codefiles.zip,7,4,File-Attributes-Assignment.txt,7,4,251,1479,4,"Linux, File permissions, ownership of a file, group, inode, soft and hard links, video tutorial",1,4,2014-07-27 13:07:35,2019-06-25 06:41:38,,6,16102
24,24,Conditional-Branching-Slides.zip,1479,4,Conditional-Branching-Codefiles.zip,7,4,Conditional-Branching-Assignment.pdf,7,4,15,1479,4,"if-then-else, select-case, video tutorial,  Scilab.",1,4,2014-07-27 13:07:35,2017-10-12 05:54:37,,6,7
25,25,Iteration-Slides.zip,1479,4,Iteration-Codefiles.zip,7,4,Iteration-Assignment.pdf,1479,4,24,1479,4,"for loop, while loop, video tutorial,  Scilab.",1,4,2014-07-27 13:07:35,2018-06-28 03:55:50,,6,7
26,26,Introduction-to-QCAD-Slides.zip,1479,4,"",1479,6,Introduction-to-QCAD-Assignment.pdf,1479,4,,1479,6,"CAD, Drawing, qcad , Qcad interface, video tutorial",1,4,2014-07-27 13:07:35,2014-09-05 12:21:04,,6,1479
27,27,Plotting-2D-graphs-Slides.zip,1479,4,Plotting-2D-graphs-Codefiles.zip,7,4,Plotting-2D-graphs-Assignment.pdf,1479,4,25,1479,4,"Plotting, 2D Graphs, plot, plot2d, video tutorial,  Scilab.",1,4,2014-07-27 13:07:35,2018-06-28 04:05:38,,6,1479
28,28,Drawing-Methods-in-QCAD-Slides.zip,1479,4,Drawing-Methods-in-QCAD-Codefiles.zip,1479,4,Drawing-Methods-in-QCAD-Assignment.pdf,1479,4,26,1479,4,"CAD, Drawing methods, command, coordinates, QCAD, Cartesian coordinate system , video tutorial",1,4,2014-07-27 13:07:36,2014-07-27 13:15:48,,6,1479
29,29,Scripts-and-Functions-Slides.zip,1479,4,Scripts-and-Functions-Codefiles.zip,7,4,Scripts-and-Functions-Assignment.pdf,1479,4,25,40501,4,"Scripts, functions, exec, User defined function, Executing files, video tutorial,  Scilab.",1,4,2014-07-27 13:07:36,2019-04-05 09:20:42,,6,7
30,30,Vector-Operations-Slides.zip,1479,4,"",1479,6,Vector-Operations-Assignment.pdf,7,4,6,40501,4,"Vector, Length of vector, Mathematical operations on Vectors,  Matrix, Size of matrix, mathematical operaions on matrices, video tutorial,  Scilab.",1,4,2014-07-27 13:07:36,2019-04-05 09:20:04,,6,1479
31,31,Using-Modification-Tools-I-Slides.zip,1479,4,Using-Modification-Tools-I-Codefiles.zip,1479,4,Using-Modification-Tools-I-Assignment.pdf,1479,4,28,1479,4,"QCAD, Trim, modify, drawing, move, copy, rotate, video tutorial",1,4,2014-07-27 13:07:36,2014-07-27 13:15:48,,6,1479
