,question_id,parsed_title,parsed_body_ques,parsed_body_ans,category,tutorial,keyword
0,1.0,ipython interpreter does not contain matplotlib,i downloaded and installed ipython interpreter but it does not contain matplotlib how can i get matplotlib installed where can i get ipython with matplotlib?,"hi,you need to install matplotlib package separately.you may go through the getting started with ipython tutorial.alternatively,you may follow the instructions given in the python installation sheet available here.
",Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
4,1.0,ipython interpreter does not contain matplotlib,i downloaded and installed ipython interpreter but it does not contain matplotlib how can i get matplotlib installed where can i get ipython with matplotlib?,"i hope that you could install matplotlib as mentioned above.  let me give you another solution.if you start your system with live dvd, a complete working environment, including all dependent packages, will be available to you.  you can get a live dvd by one of the following two approaches: (1) http://python.fossee.in/livepythondvds - the latest distribution is 3.1gb, but has lots of things, including sage (2) if you do not access to good bandwidth, please write to info@fossee.in and we will gladly send you a dvd free of cost.
",Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
8,1.0,ipython interpreter does not contain matplotlib,i downloaded and installed ipython interpreter but it does not contain matplotlib how can i get matplotlib installed where can i get ipython with matplotlib?,i solved it by installing matplotlib and pip .sudo apt-get install python-matplotlibsudo apt-get install python-pip,Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
12,1.0,ipython interpreter does not contain matplotlib,i downloaded and installed ipython interpreter but it does not contain matplotlib how can i get matplotlib installed where can i get ipython with matplotlib?,you may follow the instructions given in the python installation sheet available.i did the same its working now,Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
16,214.0,single quote vs. double quote,"i notice that double quote also works in the plot examples.  is this always true in python.  that is, are single and double quotes interchangeable?","dear user,there is no difference between using single quotes and double quotes in python. they can be used interchangeably. as a matter of personal preference you can use any but stick to one of them to avoid confusion. as convention, most of the programmers prefer double quotes for string.hope this helps.thanks.",Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
20,215.0,single quote vs. double quote,i can use single quote in the place of double quote in the title command and it works.  i am using canopy.  does this work in all python environments or only in canopy?,"dear user,there is no such difference between other python and canopy. canopy is just a python distribution.there is no difference between using single quotes and double quotes in python. they can be used interchangeably. as a matter of personal preference you can use any but stick to one of them to avoid confusion. as convention, most of the programmers prefer double quotes for string.hope this helps.thanks.",Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
24,215.0,single quote vs. double quote,i can use single quote in the place of double quote in the title command and it works.  i am using canopy.  does this work in all python environments or only in canopy?,"hi sir,single quotes and double quotes have no significant difference.they can be used as per preference. but, it is good to maintain consistency and not mix both of them in scripts.also, if there is some string which contains single quotes in it then it should be written in double quotes so that the single quotes are automatically escapedeg. ""this is string with 'single quotes' which are escaped automatically""if the above string js printed it will bethis is string with 'single quotes' which are escaped automatically",Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
28,1321.0,title command is not working,"while i give title(""name"") it returns an error str object not callable",i think you must have defined title variable previously that is why you're getting this error.,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
32,1323.0,not geeting title on current graph,"as per instruction all works good till above mention time. after that when i am going to give title to current plot it will show me blank graph with title. and after that for all other option i am getting same, blank graph and particular command output.",this happens because the plot/graph window is being closed before running the title command. please ensure that you are not closing the plot/graph display window.for now you can run the plot command again to plot the graph and then run the title command after the plot/graph window has opened up.,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
36,1324.0,color of plot,"while completing the exercise given in video, i written the code plot(x,cos(x), '.',""r"", linewidth=3).the output plot i obtained was of blue color rather than red.","can you please try this command plot(x,cos(x),""r."", linewidth=3)  and see if this works for you!",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
