,Unnamed: 0,question_id,parsed_title,parsed_body_ques,parsed_body_ans,category,tutorial,keyword,cos
38,38,1324.0,color of plot,"while completing the exercise given in video, i written the code plot(x,cos(x), '.',""r"", linewidth=3).the output plot i obtained was of blue color rather than red.","can you please try this command plot(x,cos(x),""r."", linewidth=3)  and see if this works for you!",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.8944271909999159
36,36,1324.0,color of plot,"while completing the exercise given in video, i written the code plot(x,cos(x), '.',""r"", linewidth=3).the output plot i obtained was of blue color rather than red.","can you please try this command plot(x,cos(x),""r."", linewidth=3)  and see if this works for you!",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.8944271909999159
108,108,1467.0,plot(),"after using plot(x,y), if i give title(""graph""), a blank graph is created. how to merge the title, xlabel, ylabel with already created graph?",please try to run all these commands one after other. it seems you must have cleared or opened different plot.,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.816496580927726
1786,1786,1402.0,plot,can we plot directly without using sequence variable?,"you can also use simple lists to specify the values or even range functions.you can also avoid sequences altogether, although in that case you will only be plotting a single point.",Python,Getting-started-with-ipython,"Python, Invoke and Quit ipython interpreter, Tab completion, Navigation in the history of ipython, interrupt incomplete commands, video tutorial.",0.816496580927726
110,110,1467.0,plot(),"after using plot(x,y), if i give title(""graph""), a blank graph is created. how to merge the title, xlabel, ylabel with already created graph?",please try to run all these commands one after other. it seems you must have cleared or opened different plot.,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.816496580927726
142,142,2950.0,plot axis," a=linspace(3,-3,100)    b=sin(a)plot(b,'r')plots a graph considering data of ""b"" for y axis, what is the default x axis data or value it consider ?","by default, a range of values is generated for the x-axis, based on the number of points generated by linspace.for e.g a=linspace(3,-3,100) will generate 100 points between 3 and -3. so the x-axis points are considered from 0-100.if a=linspace(3,-3, 50) is considered then the x-axis points are considered from 0-50.for more information on how the plot command works, you can try the plot? inside the ipython terminal.",Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.6666666666666669
72,72,1398.0,embellishing plot,"in [68]: title(""parabolic function -x^2+4x-5"")out[68]: text(0.5, 1, 'parabolic function -x^2+4x-5')","please specify your query clearly. there seems to be no error in your statement, in case you check your plot the title should have showed up.in case you are facing an issue, please specify it here along with any errors that you think you faced",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.6666666666666669
62,62,1388.0,embellishing plot," plot(x,sin(x),'b--,linewidth=3)  file ""<ipython-input-61-43923530a9ca>"", line 1    plot(x,sin(x),'b--,linewidth=3)                                   ^syntaxerror: eol while scanning string literalwhy it is showing error with statement ?","an eol ( end of line ) error indicates that the python interpreter expected a particular character or set of characters to have occurred in a specific line of code, but that those characters were not found before the end of the line . this results in python stopping the program execution and throwing a syntax error .the syntaxerror: eol while scanning string literal error in python occurs when while scanning a string of a program the python hit the end of the line due to the following reasons:missing quotesstrings spanning multiple linesstrings can't normally span multiple lines. if you don't want the string to appear on multiple lines but you want to initialize it on multiple lines (so you can read it more easily), you can ""escape"" the newline by putting a backslash before the newline. if you want it to appear on multiple lines, you can use triple quotes around the string.http://net-informations.com/python/err/eol.htm",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.6666666666666669
60,60,1388.0,embellishing plot," plot(x,sin(x),'b--,linewidth=3)  file ""<ipython-input-61-43923530a9ca>"", line 1    plot(x,sin(x),'b--,linewidth=3)                                   ^syntaxerror: eol while scanning string literalwhy it is showing error with statement ?","an eol ( end of line ) error indicates that the python interpreter expected a particular character or set of characters to have occurred in a specific line of code, but that those characters were not found before the end of the line . this results in python stopping the program execution and throwing a syntax error .the syntaxerror: eol while scanning string literal error in python occurs when while scanning a string of a program the python hit the end of the line due to the following reasons:missing quotesstrings spanning multiple linesstrings can't normally span multiple lines. if you don't want the string to appear on multiple lines but you want to initialize it on multiple lines (so you can read it more easily), you can ""escape"" the newline by putting a backslash before the newline. if you want it to appear on multiple lines, you can use triple quotes around the string.http://net-informations.com/python/err/eol.htm",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.6666666666666669
58,58,1388.0,embellishing plot," plot(x,sin(x),'b--,linewidth=3)  file ""<ipython-input-61-43923530a9ca>"", line 1    plot(x,sin(x),'b--,linewidth=3)                                   ^syntaxerror: eol while scanning string literalwhy it is showing error with statement ?","plot(x, sin(x), 'b--', linewidth=3)",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.6666666666666669
56,56,1388.0,embellishing plot," plot(x,sin(x),'b--,linewidth=3)  file ""<ipython-input-61-43923530a9ca>"", line 1    plot(x,sin(x),'b--,linewidth=3)                                   ^syntaxerror: eol while scanning string literalwhy it is showing error with statement ?","plot(x, sin(x), 'b--', linewidth=3)",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.6666666666666669
54,54,1387.0,embellishing plot," plot(x,sin(x),'b--,linewidth=3)  file ""<ipython-input-61-43923530a9ca>"", line 1    plot(x,sin(x),'b--,linewidth=3)                                   ^syntaxerror: eol while scanning string literalwhy it is showing error with statement ?","plot(x, sin(x), 'b--',linewidth=3)",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.6666666666666669
52,52,1387.0,embellishing plot," plot(x,sin(x),'b--,linewidth=3)  file ""<ipython-input-61-43923530a9ca>"", line 1    plot(x,sin(x),'b--,linewidth=3)                                   ^syntaxerror: eol while scanning string literalwhy it is showing error with statement ?","plot(x, sin(x), 'b--',linewidth=3)",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.6666666666666669
140,140,2950.0,plot axis," a=linspace(3,-3,100)    b=sin(a)plot(b,'r')plots a graph considering data of ""b"" for y axis, what is the default x axis data or value it consider ?","by default, a range of values is generated for the x-axis, based on the number of points generated by linspace.for e.g a=linspace(3,-3,100) will generate 100 points between 3 and -3. so the x-axis points are considered from 0-100.if a=linspace(3,-3, 50) is considered then the x-axis points are considered from 0-50.for more information on how the plot command works, you can try the plot? inside the ipython terminal.",Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.6666666666666669
74,74,1398.0,embellishing plot,"in [68]: title(""parabolic function -x^2+4x-5"")out[68]: text(0.5, 1, 'parabolic function -x^2+4x-5')","please specify your query clearly. there seems to be no error in your statement, in case you check your plot the title should have showed up.in case you are facing an issue, please specify it here along with any errors that you think you faced",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.6666666666666669
2598,2598,3319.0,plot command,can't run or install the pylab by this video can someone provide other trick to install or run pylab.,"please provide details on what you have tried. what errors you faced, in case of errors please paste the error reports here or in an image and provide link to the imageyou can try using anaconda python environment https://docs.anaconda.com/anaconda/install/",Python,Using-the-plot-command-interactively,"Python, Creating simple plots of mathematical functions,  Using figure window to study plots, video tutorial.",0.6666666666666669
2577,2577,1372.0,plot command,list of additional mathematical functions using plot command ,kindly elaborate on your query so that we can help you better.do you wish to know more mathematical functions that you can plot using the plot command?,Python,Using-the-plot-command-interactively,"Python, Creating simple plots of mathematical functions,  Using figure window to study plots, video tutorial.",0.6666666666666669
2200,2200,1848.0,title of plot,"the command:title(""$x and xsin(x)$"")results in the title as xandxsin(x) without any spaces.how to provide spaces in the title?","this should work as expected, can you try the same title without the $ signs? please paste screenshots, error messages if any to help debugging.",Python-3.4.3,Additional-features-of-IPython,"Python, Retriving ipython, Viewing and savinga part of history, Running a script within ipython, video tutorial.",0.5773502691896258
88,88,1420.0,embellishing a plot,why on my latop %pylab command is not running,please specify the complete error includein the traceback here.,Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.5773502691896258
90,90,1420.0,embellishing a plot,why on my latop %pylab command is not running,please specify the complete error includein the traceback here.,Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.5773502691896258
40,40,1379.0,embellishing a plot,maximum and minimum limit of set and get axes?,"get or set the x limits of the current axes.xmin, xmax = xlim()   # return the current xlimxlim( (xmin, xmax) )  # set the xlim to xmin, xmaxxlim( xmin, xmax )    # set the xlim to xmin, xmax<paste>change x-axis limitsimport matplotlib.pyplot as pltw = 4h = 3d = 70plt.figure(figsize=(w, h), dpi=d)x = [1, 2, 4, 3, 0]plt.xlim(0, 10)plt.plot(x)plt.savefig(""out.png"")",Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.5773502691896258
42,42,1379.0,embellishing a plot,maximum and minimum limit of set and get axes?,"get or set the x limits of the current axes.xmin, xmax = xlim()   # return the current xlimxlim( (xmin, xmax) )  # set the xlim to xmin, xmaxxlim( xmin, xmax )    # set the xlim to xmin, xmax<paste>change x-axis limitsimport matplotlib.pyplot as pltw = 4h = 3d = 70plt.figure(figsize=(w, h), dpi=d)x = [1, 2, 4, 3, 0]plt.xlim(0, 10)plt.plot(x)plt.savefig(""out.png"")",Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.5773502691896258
2585,2585,1421.0,plot a graph,can we plot the graph of sin(40)?,"yes, it is possible. although this will only plot a single point on the graph which will not be directly visible unless you colorize it or make it thicker for visibility",Python,Using-the-plot-command-interactively,"Python, Creating simple plots of mathematical functions,  Using figure window to study plots, video tutorial.",0.5773502691896258
138,138,2949.0,plot line style,"in following command plot(x,sin(x),'2r')what  2 signifies ?",2 represents the linewidth of the graph line,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.5773502691896258
136,136,2949.0,plot line style,"in following command plot(x,sin(x),'2r')what  2 signifies ?",2 represents the linewidth of the graph line,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.5773502691896258
2588,2588,1427.0,plot a graph,"how can we use ""degree range"" instead of ""numeric numbers"" while plotting a graph? ",please elaborate.,Python,Using-the-plot-command-interactively,"Python, Creating simple plots of mathematical functions,  Using figure window to study plots, video tutorial.",0.5773502691896258
2589,2589,1427.0,plot a graph,"how can we use ""degree range"" instead of ""numeric numbers"" while plotting a graph? ","there is way to use degree range (list of angles) via below command x=linspace(0,180,7)it will give followingarray([  0.,  30.,  60.,  90., 120., 150., 180.])",Python,Using-the-plot-command-interactively,"Python, Creating simple plots of mathematical functions,  Using figure window to study plots, video tutorial.",0.5773502691896258
2202,2202,1848.0,title of plot,"the command:title(""$x and xsin(x)$"")results in the title as xandxsin(x) without any spaces.how to provide spaces in the title?","this should work as expected, can you try the same title without the $ signs? please paste screenshots, error messages if any to help debugging.",Python-3.4.3,Additional-features-of-IPython,"Python, Retriving ipython, Viewing and savinga part of history, Running a script within ipython, video tutorial.",0.5773502691896258
5298,5298,1329.0,regarding the function plot,"how is it possible that a plot function works properly with a single argument and also using double arguments.for example p=linspace(1,100,100)plot (p,cos(p))other way of using plotx =linspace(-pi,pi,50)plot(sin(x)*sin(x))/x",for plot(y) you get plot y using x as index array 0..n-1please type plot?  in your ipython interpreter for details on how the plot function works,Python,Plotting-the-data,"Python, List of numbers, Plotting data points and errorbars, video tutorial.",0.5163977794943223
1617,1617,1361.0,problem in saving the plot,the command savefig('\\home\\fossee\\sine.png') is not executing. giving error. kindly help,can you post the detailed error message?,Python,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial.",0.4714045207910318
1627,1627,1361.0,problem in saving the plot,the command savefig('\\home\\fossee\\sine.png') is not executing. giving error. kindly help,thanks,Python,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial.",0.4714045207910318
1625,1625,1361.0,problem in saving the plot,the command savefig('\\home\\fossee\\sine.png') is not executing. giving error. kindly help,thanks,Python,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial.",0.4714045207910318
84,84,1412.0,pls help to plot pi,i am not able to create -2pi to 2pi graph? anybody can help me pls?,in the linspace command type -2*pi and 2*pi. you are missing * in the syntax.,Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.4714045207910318
1623,1623,1361.0,problem in saving the plot,the command savefig('\\home\\fossee\\sine.png') is not executing. giving error. kindly help,it is possible that you are trying to use a path that does not exist on your pc. please use an existing path (the path used in the video is specific to linux systems and to that specific pc used in the video) you will have to specify a path depending on whether you are using a windows or linux machine and also make sure that the filepath/folders that you specify are already existing on your pc,Python,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial.",0.4714045207910318
86,86,1412.0,pls help to plot pi,i am not able to create -2pi to 2pi graph? anybody can help me pls?,in the linspace command type -2*pi and 2*pi. you are missing * in the syntax.,Python,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.4714045207910318
1621,1621,1361.0,problem in saving the plot,the command savefig('\\home\\fossee\\sine.png') is not executing. giving error. kindly help,it is possible that you are trying to use a path that does not exist on your pc. please use an existing path (the path used in the video is specific to linux systems and to that specific pc used in the video) you will have to specify a path depending on whether you are using a windows or linux machine and also make sure that the filepath/folders that you specify are already existing on your pc,Python,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial.",0.4714045207910318
1619,1619,1361.0,problem in saving the plot,the command savefig('\\home\\fossee\\sine.png') is not executing. giving error. kindly help,can you post the detailed error message?,Python,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial.",0.4714045207910318
2594,2594,2195.0,plot(sin(x)*sin(x))/x," i am not able to plot this title, since it is showing some errors, please help me",you have typed the wrong command. the command is as follows plot((sin(x)*sin(x))/x).,Python,Using-the-plot-command-interactively,"Python, Creating simple plots of mathematical functions,  Using figure window to study plots, video tutorial.",0.4364357804719848
2569,2569,1308.0,plot function is not showing the graph,please clearly explain the syntax of using plot.because plot is not showing graph on display,please ensure that you have executed a plot.show() or a plt.show() in order to display the plot.,Python,Using-the-plot-command-interactively,"Python, Creating simple plots of mathematical functions,  Using figure window to study plots, video tutorial.",0.408248290463863
2595,2595,2445.0,how to plot (sin(x)*sin(x))/x,how to plot (sin(x)*sin(x))/xplease explain,command to plot is plot((sin(x)*sin(x))/x).,Python,Using-the-plot-command-interactively,"Python, Creating simple plots of mathematical functions,  Using figure window to study plots, video tutorial.",0.3849001794597505
1647,1647,1442.0,error while saving the plot using savefig() command,"after executing the savefig('sine.png') command, it is showing some error instead of saving in current directory and after specifying the saving location  as instructed later in this video their is an error.","the directory in which you are saving the figure must exist, or else it will throw you an error.savefig(""c:\\\\users\\\\username\\\\desktop\\\\plot.png"")",Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial.",0.3849001794597505
1645,1645,1442.0,error while saving the plot using savefig() command,"after executing the savefig('sine.png') command, it is showing some error instead of saving in current directory and after specifying the saving location  as instructed later in this video their is an error.","the directory in which you are saving the figure must exist, or else it will throw you an error.savefig(""c:\\\\users\\\\username\\\\desktop\\\\plot.png"")",Python-3.4.3,Saving-plots,"Python, Saving plots using savefig() function and different formats, video tutorial.",0.3849001794597505
120,120,2151.0,"plot(x,sin(x),'r','.') command nt showing dotted line",dotted line in graph not reflected ,"try this exampleplot(x, sin(x), color='red', linewidth=1, linestyle=':')",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.3481553119113957
122,122,2151.0,"plot(x,sin(x),'r','.') command nt showing dotted line",dotted line in graph not reflected ,"try this exampleplot(x, sin(x), color='red', linewidth=1, linestyle=':')",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.3481553119113957
124,124,2151.0,"plot(x,sin(x),'r','.') command nt showing dotted line",dotted line in graph not reflected ,"try this plot(x,sin(x),'.r') ",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.3481553119113957
126,126,2151.0,"plot(x,sin(x),'r','.') command nt showing dotted line",dotted line in graph not reflected ,"try this plot(x,sin(x),'.r') ",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial.",0.3481553119113957
2551,2551,2973.0,"how to modify the label of x any y axis such as font size, color of font , width of axis etc.","how to modify the label of x any y axis such as font size, color of font , width of axis etc.","this might answer your question:there is text object and properties of the text objects can be used with xlabel and ylabel.you can modify the size and color of a xlabel and ylabel by using the text properties.ylabel(r""$\frac{(sin(x)^2}{x}$"", color='r', fontsize=20)eventhough it is posible to specify fontfamily(family) and fontname attributes, i haven't seen much changes in the diagram. note that there is a reference of valid arguments available in the matplotlib help section:https://matplotlib.org/3.2.2/api/text_api.html#module-matplotlib.textwe are basically using the python's matplotlib and numpy libraries, as i understands.i don't understand what you mean by width of the axis? did you mean setting the limit using xlim() and ylim()? could you please expand on it, so that it might contribute more towards learning?best regards,",Python-3.4.3,Multiple-plots,"Python, Drawing multiple plots, Figure and legend command, Creating and switching between subplots, video tutorial.",0.24618298195866548
