id,uid,category,tutorial,minute_range,second_range,title,body,date_created,date_modified,views,status
1,5843,Python,Embellishing-a-plot,01-02,0-10,Ipython interpreter does not contain matplotlib,"<span style=""color: rgb(85, 85, 85); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 14px; line-height: 18px;"">I downloaded and installed ipython interpreter but it does not contain matplotlib how can I get matplotlib installed where can I get ipython with matplotlib?</span>",2013-12-17 12:36:00,2020-10-09 21:06:15,1515,1
2,8766,OpenFOAM,Simulating-Hagen-Poiseuille-flow,00-01,0-10,OpenFOAM FATAL ERROR: face 7 in patch 0 does not have neighbour cell face: 4(19 20 24 23)),"Hello Everyone...<br>I am very new to OF and trying to mesh a cylinder for Hagen-Poiseuille flow. I am getting error like:<br><br>FOAM FATAL ERROR:<br>face 7 in patch 0 does not have neighbour cell face: 4(19 20 24 23)<br>From function polyMesh::facePatchFaceCells(const faceList&amp; patchFaces,const labelListList&amp; pointCells,const faceListList&amp; cellsFaceShapes,const label patchID)<br>in file meshes/polyMesh/polyMeshFromShapeMesh.C at line 127.<br><br>Actually I tried to correct the order of points and still i got the same error..<br>Also, when i tried with ""paraFoam -block"", paraview opened and closed before showing anything.<br><br>How to rectify this..<br><br>blockMeshDict is :<br>convertToMeters 0.1;<br><br>vertices<br>(<br>(0 0 0)<br>(0.15 0.15 0)<br>(-0.15 0.15 0)<br>(-0.15 -0.15 0)<br>(0.15 -0.15 0) //4<br>(0.3 0.3 0)<br>(-0.3 0.3 0)<br>(-0.3 -0.3 0)<br>(0.3 -0.3 0)//8<br>(0.35 0.35 0)<br>(-0.35 0.35 0)<br>(-0.35 -0.35 0)<br>(0.35 -0.35 0)//12<br><br>(0.15 0.15 30)<br>(-0.15 0.15 30)<br>(-0.15 -0.15 30)<br>(0.15 -0.15 30)<br>(0.3 0.3 30)//17<br>(-0.3 0.3 30)<br>(-0.3 -0.3 30)<br>(0.3 -0.3 30)<br>(0.35 0.35 30) //21<br>(-0.35 0.35 30)<br>(-0.35 -0.35 30)<br>(0.35 -0.35 30)<br>(0 0 30) //25<br><br>);<br><br>blocks<br>(<br>hex (1 2 3 4 13 14 15 16) (10 10 150) simpleGrading (1 1 1)<br>hex (1 5 6 2 13 17 18 14) (10 10 150) simpleGrading (1 1 1)<br>hex (2 6 7 3 14 18 19 15) (10 10 150) simpleGrading (1 1 1)<br>hex (3 7 8 4 15 19 20 16) (10 10 150) simpleGrading (1 1 1)<br>hex (4 8 5 1 16 20 17 13) (10 10 150) simpleGrading (1 1 1)<br>hex (5 9 10 6 17 21 22 18) (10 10 150) simpleGrading (1 1 1)<br>hex (6 10 11 7 18 22 23 19) (10 10 150) simpleGrading (1 1 1)<br>hex (12 9 5 8 24 21 17 20) (10 10 150) simpleGrading (1 1 1)<br>);<br><br>edges<br>(<br>arc 5 6 (0 0.42426 0) // back face<br>arc 6 7 (-0.42426 0 0)<br>arc 7 8 (0 -0.42426 0)<br>arc 8 5 (0.42426 0 0)<br>arc 9 10 (0 0.5 0)<br>arc 10 11 (-0.5 0 0)<br>arc 11 12 (0 -0.5 0)<br>arc 12 9 (0.5 0 0)<br><br>arc 17 18 (0 0.42426 30) // front face<br>arc 18 19 (-0.42426 0 30)<br>arc 19 20 (0 -0.42426 30)<br>arc 20 17 (0.42426 0 30)<br>arc 21 22 (0 0.5 30)<br>arc 22 23 (-0.5 0 30)<br>arc 23 24 (0 -0.5 30)<br>arc 24 21 (0.5 0 30)<br><br>);<br><br>boundary<br>(<br>inlet<br><br>type inlet;<br>faces<br>(<br>(13 16 15 14)<br>(13 14 18 17)<br>(14 15 19 18)<br>(15 16 20 19)<br>(16 13 17 20)<br>(17 18 22 21)<br>(18 19 23 22)<br>(19 20 24 23)<br>(20 17 21 24)<br>);<br><br><br>outlet<br><br>type outlet;<br>faces<br>(<br>(1 5 6 2)<br>(2 6 7 3)<br>(3 7 8 4)<br>(4 8 5 1)<br>(1 2 3 4)<br>(5 9 10 6)<br>(6 10 11 7)<br>(7 11 12 8)<br>(8 12 9 5)<br>);<br><br><br>fixedWalls<br><br>type wall;<br>faces<br>(<br>(21 22 10 19)<br>(22 23 11 10)<br>(23 24 12 11)<br>(24 21 9 12)<br>);<br><br>);<br><br>mergePatchPairs<br>(<br>);<br>",2013-12-17 12:42:27,2020-10-10 17:32:36,5462,1
3,6397,OpenFOAM,General,None,None,Programming language for OpenFOAM.,"
        
        
        
        
        
        
        
        Can i do programming on C or C++ for using OpenFOAM or i have to go another programming language?
    
    
    
    
    
    
    
    ",2013-12-18 10:14:53,2020-10-09 22:09:07,1653,1
4,5545,Geogebra,General,None,None,About Geogebra,Which part of geogebra is useful to class 6-10 students?<br>Is there any tutorial notes with step by step solved examples for Geogebra?<br>,2013-12-26 14:48:46,2020-10-04 04:22:34,1676,1
5,5545,PHP-and-MySQL,General,None,None,PHP MySQL,"
        
        I got spoken tutorial course containing PHP packages along with video tutorials and related software.<br>How to install PHP software packages and use them for my practice. Please give step by step procedure<br>
    
    ",2013-12-26 14:55:09,2020-10-09 22:05:39,1177,1
6,15873,OpenFOAM,Installing-Running,06-07,50-60,error while installing openfoam,"        
        
        
        
        Dear Friends,<div>i am installing openfoam on ubuntu.</div><div>i am getting the following error:</div><div>icoFoam command not found.</div><div><br></div><div>kindly help.</div>
    
    
    
    
    ",2014-01-07 12:41:16,2020-10-11 00:33:49,1103,1
7,6261,OpenFOAM,Installing-Running,None,None,Regarding installation of OPENFOAM in Windows,"In the tutorials OPENFOAM is used on linux(ubuntu),but since most of the people work on windows,so I want to ask if there is any way to install OPENFOAM.2.1.x &nbsp;and Paraview on Windows 8???.....<div><br></div>",2014-01-11 13:52:26,2020-10-07 01:17:42,2470,1
8,15684,OpenFOAM,General,None,None,while installing the software in our lab i am facing some problems i have listed below.,"<div style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;""><b>I tried to install&nbsp; the OpenFOAM as instructions given in site, when i follow instruction number 15 at the end of process i am getting the following<br></b><br><br>W: GPG error:&nbsp;<a href=""http://ppa.launchpad.net/"" target=""_blank"" style=""color: rgb(17, 85, 204);"">http://ppa.launchpad.net</a>&nbsp;oneiric InRelease: File /var/lib/apt/lists/partial/<wbr>ppa.launchpad.net_ubuntu-<wbr>toolchain-r_test_ubuntu_dists_<wbr>oneiric_InRelease doesn't start with a clearsigned message<br>W: Failed to fetch&nbsp;<a href=""http://ppa.launchpad.net/ubuntu-toolchain-r/test/ubuntu/dists/oneiric/main/i18n/Index"" target=""_blank"" style=""color: rgb(17, 85, 204);"">http://ppa.launchpad.net/<wbr>ubuntu-toolchain-r/test/<wbr>ubuntu/dists/oneiric/main/<wbr>i18n/Index</a>&nbsp; No Hash entry in Release file /var/lib/apt/lists/partial/<wbr>ppa.launchpad.net_ubuntu-<wbr>toolchain-r_test_ubuntu_dists_<wbr>oneiric_main_i18n_Index<br><br>W: Failed to fetch gzip:/var/lib/apt/lists/<wbr>partial/ppa.launchpad.net_<wbr>ubuntu-toolchain-r_test_<wbr>ubuntu_dists_oneiric_main_<wbr>source_Sources&nbsp; Encountered a section with no Package: header<br><br>W: Failed to fetch gzip:/var/lib/apt/lists/<wbr>partial/ppa.launchpad.net_<wbr>ubuntu-toolchain-r_test_<wbr>ubuntu_dists_oneiric_main_<wbr>binary-i386_Packages&nbsp; Encountered a section with no Package: header<br><br>E: Some index files failed to download. They have been ignored, or old ones used instead.<br><b><br></b></div><b style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;"">and after this if i run 16th instruction I am getting</b><br style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;""><br style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;""><span style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;"">administrator@ubuntu:~/</span><wbr style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;""><span style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;"">OpenFOAM$ icoFoam -help</span><br style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;""><span style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;"">icoFoam: command not found</span><div><span style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;""><br></span></div>",2014-01-23 03:16:04,2020-10-11 05:23:16,1773,1
9,17622,LibreOffice-Suite-Calc,General,None,None,business application,"
        
        
        
        
        
        
        
        
        
        we are having business where we have to give dues to the customers please help me to give open source application with options for entering data like (customer id,customer name,town/village,due amount,up to now paid amount,total due) special options like (searching customer,grouping according to town/village,printing option) help me with the application with this options or options with slight changes
    
    
    
    
    
    
    
    
    
    ",2014-01-23 15:12:56,2020-10-10 08:53:17,718,1
10,17855,C-and-C++,General,None,None,tutorial project,"
        
        Please send the full details about this training project sir.
    <div><br></div>
    ",2014-01-27 14:46:19,2020-10-06 05:28:36,1016,1
