,question_id,parsed_title,parsed_body_ques,parsed_body_ans,category,tutorial,keyword
28,1321.0,title command is not working,"while i give title(""name"") it returns an error str object not callable",i think you must have defined title variable previously that is why you're getting this error.,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
32,1323.0,not geeting title on current graph,"as per instruction all works good till above mention time. after that when i am going to give title to current plot it will show me blank graph with title. and after that for all other option i am getting same, blank graph and particular command output.",this happens because the plot/graph window is being closed before running the title command. please ensure that you are not closing the plot/graph display window.for now you can run the plot command again to plot the graph and then run the title command after the plot/graph window has opened up.,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
36,1324.0,color of plot,"while completing the exercise given in video, i written the code plot(x,cos(x), '.',""r"", linewidth=3).the output plot i obtained was of blue color rather than red.","can you please try this command plot(x,cos(x),""r."", linewidth=3)  and see if this works for you!",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
52,1387.0,embellishing plot,"plot(x,sin(x),'b--,linewidth=3)  file ""<ipython-input-61-43923530a9ca>"", line 1    plot(x,sin(x),'b--,linewidth=3)                                   ^syntaxerror: eol while scanning string literalwhy it is showing error with statement ?","plot(x, sin(x), 'b--',linewidth=3)",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
56,1388.0,embellishing plot,"plot(x,sin(x),'b--,linewidth=3)  file ""<ipython-input-61-43923530a9ca>"", line 1    plot(x,sin(x),'b--,linewidth=3)                                   ^syntaxerror: eol while scanning string literalwhy it is showing error with statement ?","plot(x, sin(x), 'b--', linewidth=3)",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
60,1388.0,embellishing plot,"plot(x,sin(x),'b--,linewidth=3)  file ""<ipython-input-61-43923530a9ca>"", line 1    plot(x,sin(x),'b--,linewidth=3)                                   ^syntaxerror: eol while scanning string literalwhy it is showing error with statement ?","an eol ( end of line ) error indicates that the python interpreter expected a particular character or set of characters to have occurred in a specific line of code, but that those characters were not found before the end of the line . this results in python stopping the program execution and throwing a syntax error .the syntaxerror: eol while scanning string literal error in python occurs when while scanning a string of a program the python hit the end of the line due to the following reasons:missing quotesstrings spanning multiple linesstrings can't normally span multiple lines. if you don't want the string to appear on multiple lines but you want to initialize it on multiple lines (so you can read it more easily), you can ""escape"" the newline by putting a backslash before the newline. if you want it to appear on multiple lines, you can use triple quotes around the string.http://net-informations.com/python/err/eol.htm",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
72,1398.0,embellishing plot,"in [68]: title(""parabolic function -x^2+4x-5"")out[68]: text(0.5, 1, 'parabolic function -x^2+4x-5')","please specify your query clearly. there seems to be no error in your statement, in case you check your plot the title should have showed up.in case you are facing an issue, please specify it here along with any errors that you think you faced",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
76,1404.0,alignment of text in ylabel command,what is the use of this **kwargs parameter i.e .text properties ,**kwargs are used for passing keyworded variable length of arguments to a function. ,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
80,1407.0,annotate command not working,"why this command is not working annotate(""local maxima"" xy=(2,-1))?","please ensure that you add the comma as below;annotate(""local maxima"", xy=(2,-1))",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
92,1422.0,latex  styling,what is the  requirement for including 'r' before the title in latex styling? ,"it is optional, it used to indicated the raw string.",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
100,1435.0,why the value of ylabel coming as 42.7 ?,,"thank for including the screenshot, how ever it does not seem to be rendering here, please use the imgur.com website to upload your image and paste the link here",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
108,1467.0,plot(),"after using plot(x,y), if i give title(""graph""), a blank graph is created. how to merge the title, xlabel, ylabel with already created graph?",please try to run all these commands one after other. it seems you must have cleared or opened different plot.,Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
112,2029.0,usage of  of line type and colour,"when i type plot(x,sin(x),'r--',linewidth=3) it is showing an error thatillegal format string ""r - -"";","the plot command is proper. may be you have put spaces in the format string ""r - -"" as your error message shows.remove spaces 'r--' and try.let us know.",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
116,2033.0,usage of  of line type,"plot(x,sin(x),'r--',linewidth=3)in the above format we use '--' as line style.what should i do if i want to plot it using dots ' . ' or plus sign '+'.if i palce dot or plus in place of - it is dispalying an error","use plot(x,sin(x),'r+',linewidth=3) and plot(x,sin(x),'ro',linewidth=3)",Python-3.4.3,Embellishing-a-plot,"Python, Modifying attributes, Adding annotations to the plot, To Set and Get the limits of axes, video tutorial."
