id,foss_id,tutorial,level_id,order,user_id,created,updated
1,83,Installing MikTeX,1,11,7,2016-08-10 16:47:01,2016-08-11 10:25:50
2,14,What is Compiling,1,100,7,2014-07-27 13:07:31,2018-01-12 06:10:45
3,83,MikTeX Updates,1,12,7,2016-08-10 16:47:01,2016-08-11 10:26:00
4,29,Why Scilab,1,6,7,2014-07-27 13:07:31,2019-04-14 05:38:22
5,29,Installing,1,7,7,2014-07-27 13:07:31,2019-04-14 05:38:06
6,29,Getting Started,1,8,7,2014-07-27 13:07:32,2019-04-14 05:37:47
7,14,Letter Writing,1,3,1,2014-07-27 13:07:32,2014-07-27 13:07:32
8,83,Report Writing,1,3,7,2016-08-10 16:47:01,2016-08-10 16:47:01
9,21,Basic Commands,1,9,7,2014-07-27 13:07:32,2018-08-31 03:26:49
10,14,Mathematical Typesetting,1,4,7,2014-07-27 13:07:33,2018-01-12 06:11:14
11,14,Equations,1,5,7,2014-07-27 13:07:33,2018-01-12 06:11:26
12,14,Tables and Figures,1,7,7,2014-07-27 13:07:33,2019-10-16 08:42:52
13,14,Beamer,1,8,7,2014-07-27 13:07:33,2019-10-16 08:42:42
14,21,General Purpose Utilities in Linux,1,10,7,2014-07-27 13:07:33,2018-08-31 03:26:41
15,29,Matrix Operations,1,10,7,2014-07-27 13:07:34,2019-04-14 05:37:26
16,14,Bibliography,1,9,7,2014-07-27 13:07:34,2019-10-16 08:42:30
17,14,Inside story of Bibliography,1,101,7,2014-07-27 13:07:34,2018-05-16 04:06:43
18,21,Simple filters,1,18,7,2014-07-27 13:07:34,2018-08-31 03:25:37
19,21,File System,1,11,7,2014-07-27 13:07:34,2018-08-31 03:26:34
20,5,Introduction to Geogebra,1,1,1,2014-07-27 13:07:34,2014-07-27 13:07:34
21,5,Spreadsheet View Basics,1,5,1,2014-07-27 13:07:34,2014-07-27 13:07:34
22,5,Radian Measure,2,10,1,2014-07-27 13:07:35,2014-07-27 13:07:35
23,21,File Attributes,1,13,7,2014-07-27 13:07:35,2018-08-31 03:26:19
24,29,Conditional Branching,1,11,7,2014-07-27 13:07:35,2019-04-14 05:37:07
25,29,Iteration,1,12,7,2014-07-27 13:07:35,2019-04-14 05:36:56
26,28,Introduction to QCAD,1,1,1,2014-07-27 13:07:35,2014-07-27 13:07:35
27,29,Plotting 2D graphs,1,14,7,2014-07-27 13:07:35,2019-04-14 05:36:36
28,28,Drawing Methods in QCAD,1,2,1,2014-07-27 13:07:35,2014-07-27 13:07:35
29,29,Scripts and Functions,1,13,7,2014-07-27 13:07:36,2019-04-14 05:36:46
30,29,Vector Operations,1,9,7,2014-07-27 13:07:36,2019-04-14 05:37:36
31,28,Using Modification Tools I,1,3,1,2014-07-27 13:07:36,2014-07-27 13:07:36
32,28,Modification Tools to Stretch and Mirror,1,4,1,2014-07-27 13:07:36,2014-07-27 13:07:36
33,28,Modification Tools to Scale and Rotate,1,5,1,2014-07-27 13:07:36,2014-07-27 13:07:36
34,21,Redirection Pipes,1,14,7,2014-07-27 13:07:36,2018-08-31 03:26:11
35,21,Working with Linux Process,1,15,7,2014-07-27 13:07:37,2018-08-31 03:26:03
36,21,The Linux Environment,1,16,7,2014-07-27 13:07:37,2018-08-31 03:25:55
37,21,Basics of System Administration,1,17,7,2014-07-27 13:07:37,2018-08-31 03:25:47
38,20,Inserting pictures and objects,1,4,7,2014-07-27 13:07:37,2017-03-06 10:00:54
39,20,Viewing and printing a text document,1,5,7,2014-07-27 13:07:37,2017-03-06 10:00:39
40,20,Creating newsletter,3,3,7,2014-07-27 13:07:37,2017-03-06 10:02:04
41,16,Introduction to LibreOffice Calc,1,2,7,2014-07-27 13:07:38,2017-03-06 10:05:03
42,16,Working with Cells,1,3,7,2014-07-27 13:07:38,2017-03-06 10:04:55
43,16,Working with Sheets,1,4,7,2014-07-27 13:07:38,2017-03-06 10:04:48
44,16,Formatting Data,1,5,7,2014-07-27 13:07:38,2017-03-06 10:04:40
45,16,Basic Data Manipulation,1,6,7,2014-07-27 13:07:38,2017-03-06 10:04:32
46,16,Working with data,1,7,7,2014-07-27 13:07:38,2017-03-06 10:04:25
47,19,Markup Language for writing formula Formula Formatting,1,2,1,2014-07-27 13:07:38,2014-07-27 13:07:38
48,19,Using Greek characters Brackets Steps to Solve Quadratic Equation,1,3,1,2014-07-27 13:07:39,2014-07-27 13:07:39
49,19,Matrices Aligning Equations,1,4,1,2014-07-27 13:07:39,2014-07-27 13:07:39
50,19,Derivatives Differential Equations Integral Equations Logarithms,1,5,1,2014-07-27 13:07:39,2014-07-27 13:07:39
51,19,Set Operations Factorials Cross reference equations,2,6,1,2014-07-27 13:07:39,2014-07-27 13:07:39
52,13,Introduction to KTurtle,1,1,1,2014-07-27 13:07:39,2014-07-27 13:07:39
53,13,Grammar of TurtleScript,1,2,1,2014-07-27 13:07:39,2014-07-27 13:07:39
54,13,Special Commands in KTurtle,2,3,1,2014-07-27 13:07:39,2014-07-27 13:07:39
55,33,Add Forces and Interactions,1,2,1,2014-07-27 13:07:40,2014-07-27 13:07:40
