question_id,body
2,"            Hi,
I think there is some problem in numbering of the vertices while you 
generated the blockMeshDict file. This problem is either where you 
specify the boundary face or when you specify the blocks. 
Please check the file properly with a diagram of the pipe along with the
 vertices and I am sure you will find the mistake.
        "
1,"
            
            
            
            Hi,

You need to install matplotlib package separately.<div>You may go through the Getting Started with IPython tutorial.</div><div>Alternatively,<br>You may follow the instructions given in the python installation sheet available <a href=""http://spoken-tutorial.org/sites/default/files/st_videos/Python/Python_Installation_Sheet_English.pdf"" title="""" target=""_blank"">here</a>.<br>
        </div>
        
        "
3,"
            
            
            Hi Ashish,<div>OpenFOAM is originally &nbsp;written in C++, but people have also used "" python "" for writing OpenFOAM codes. You can check out for PyFoam to get more idea. Other than this I don't think there is any other language which is used for openfoam codes.</div>
        
        
        "
5,"Hi, you can see the step by step installation procedures on the following links...<br>for Windows, <a target=""_blank"" title=""Install XAMPP on windows"" href=""http://www.spoken-tutorial.org/show_video?tr=221&amp;sval=1"">click here</a><br>for Linux, <a target=""_blank"" title=""Install XAMPP on Linux"" href=""http://www.spoken-tutorial.org/show_video?tr=225&amp;sval=1"">click here</a><br>"
1,"I hope that you could install matplotlib as mentioned above.&nbsp; Let me give you another solution.<br><br>If you start your system with live DVD, a complete working environment, including all dependent packages, will be available to you.&nbsp; You can get a live DVD by one of the following two approaches:&nbsp;<div>(1) <a target=""_blank"" title=""http://python.fossee.in/livepythondvds"" href=""http://python.fossee.in/livepythondvds"">http://python.fossee.in/livepythondvds</a> - the latest distribution is 3.1GB, but has lots of things, including SAGE&nbsp;</div><div>(2) If you do not access to good bandwidth, please write to <a href=""mailto:info@fossee.in"" title="""" target="""">info@fossee.in</a> and we will gladly send you a DVD free of cost.<br>
        
        </div>"
4,"Dear Alluri,<div><br></div><div>The entire Geogebra tutorial series available on our website is designed for 6th to 10th students.</div><div>The examples shown are taken from standard textbooks, and are shown step by step in the video.&nbsp;</div><div>You need to have the instruction sheet for details on how to use the tutorial. The Instruction sheet, additional questions are available when you search for a particular FOSS and language. You can access the assignments and related material for the individual tutorials below the tutorials.&nbsp;</div>"
6,"Hi Dinesh,<br><br>Can you please explain to me where exactly do you get the error. From your query I can guess two reasons of you getting this error,<br><br><b>1 )</b> Your installation is not done properly, reinstall and check.<br><b>2 )</b> You may be trying to run ""icoFoam"" command from 0, constant or system directory, which happens with most of the beginners. You have to run it outside these directories.<br><br>Regards,<br>Rahul Joshi<br>"
7,"
            
            Hello Deepak,<br>I am sorry to inform you that OpenFOAM runs only on Linux OS.&nbsp;&nbsp; However, it runs on all flavours of Linux like Ubuntu, Fedora and SuSE.&nbsp; More info is available on the OpenFOAM&nbsp; website <a href=""http://www.openfoam.org"" title="""" target=""_blank"">http://www.openfoam.org</a><br>
        
        "
7,"
            Hi Deepak,<br><br>OpenFOAM software is not designed for running with Window, but there are some versions available for windows ( which can at times be tedious ) . You can rather install a VMWare / Virtual Box and run ubuntu without compromising your windows use. But I would strongly recommend you use Linux for OpenFOAM and in case of any difficulty of using linux you can go through the Spoken Tutorials for linux.<br>
        "
7,"
            
            
            Hi Deepak,<br><br>As suggested by Rahul, you can use Virtual Box for installing Linux to run OpenFOAM . Alternatively you may install ubuntu along with windows OR make a bootable ubuntu USB which will act as a plug-in OS device and you may install OpenFOAM in that which will run work without disturbing your present files and OS.&nbsp; <br><br>The process for making bootable usb is given in the link:&nbsp;<div><a href=""http://www.ubuntu.com/download/desktop/create-a-usb-stick-on-windows"" title="""" target=""_blank"">http://www.ubuntu.com/download/desktop/create-a-usb-stick-on-windows</a><br>
        </div>
        
        "
