,cos_tr,cos_te,c,parsed_body_ans
0,,,,"dear sir,to configure the ubuntu linux server for the windows os client depends on what server you want to configure. like, if you want to transfer files from linux server to remote windows clients, configure samba server in linux server."
1,,,,"respected sir,as suggested i tried making the circuit again. this time i used a no-connect pin with the set and reset pins. but still could not get the graph. please guide me for the same once again.the error that i am receiving is ""fatal error in ngspice""below is the image of the circuit. kindly let me know if there is something wrong with the circuit."
2,,,,"yes. you can install moodle in your pc and practice the tutorial in the order given.follow the instruction as specified in the video and do the installation.https://spoken-tutorial.org/watch/moodle+learning+management+system/getting+ready+for+moodle+installation/english/https://spoken-tutorial.org/watch/moodle+learning+management+system/installing+moodle+on+local+server/english/if you are windows user, follow the steps as given in the instruction sheet:please go through the below link for installation of moodle on windows 10. (see the second page of the .pdf file)https://spoken-tutorial.org/media/videos/97/moodle-learning-management-system-installation-sheet-english.pdfmake sure you have followed the exact steps and check whether xampp is running.after successful installation, you can practice  and learn moodle."
3,,,,"got answerfile path was too longi have reduced it and got command executedin [47]: %pycat e:\primes.txt2357111317192329313741434753596167717379838997in [48]: primes = loadtxt(""e:\primes.txt"")in [49]: print(primes)[ 2.  3.  5.  7. 11. 13. 17. 19. 23. 29. 31. 37. 41. 43. 47. 53. 59. 61. 67. 71. 73. 79. 83. 89. 97.]"
4,,,,"please use the feedback module. survey is for a very specific purpose.  you will need to ask your administrator to enable the same.  alternatively, please log in as admin (if you have rights or you are the localhost admin)trust it helps.regards,jsp"
5,,,,can you please post what error message was displayed. 
6,,,,"dear sir,can you post the error, that comes at ngspice terminal that opens along with plot when you click on simulationthis error is mainly when the values are not assigned properly."
7,,,,"simply add more colors by typing their name in the col argument of pie function like col=c(""red"",""orange"",""yellow"",""blue"",""green"", ""black"", ""purple"")if the number of color names exceeds the number of pie chart sections then the extra colors will be discarded and only the required number of colors from the left side will be considered.if the number of color names is less than the number of pie chart sections then the colors will repeat."
8,,,,"hello mahanta,we regret to say that we do not have a spoken tutorial course on ""vi text editor"".  so, we will be unable to answer your query.a ""google search"" will give you many options that you can explore by yourself.rgds,nancy"
9,,,,"#include<stdio. h> int main() {printf(""welcome to the"") ;printf (""world of c"") ;return 0;}so when we don't use \n then the output will be welcome to the world of c"
10,,,,"to know more about the maintenance cost per year please contact dr. prasad deodhar, domain expert for biogas plant spoken tutorial series.dr. prasad deodharbhagirath rural development foundationvillage- zarap, taluka- kudal,dist.- sindhudurg contact number 9422596500to enquire about the annual maintenance plan for the biogas plant please visit the khadi and village industries commission office of your district."
11,,,,please try some other mirror.
12,,,,where do you want to upload cvc file? do you mean csv file with user details?
13,,,,"dear sunita,kindly go through the following link to get a brief explanation about ascend.http://spoken-tutorial.org/watch/ascend/overview%2bof%2bascend/english/for the entire course, go through the following linkhttp://spoken-tutorial.org/tutorial-search/?search_foss=ascend&search_language=englishhappy learning!thanks and regardsgaurav v shinde"
14,,,," adding labels to a chart can make the information presented in the chart ... depending on the type of chart you are creating, data labels can mean quite a bit. for instance, if you are formatting a pie chart, the data can be more difficult to ... this tip (2840) applies tomicrosoft excel 97, 2000, 2002, and 2003."
15,,,,"#include<stdio.h>int main(){printf(""welcome to the/n"");printf(""world of c/n"");return 0;} if we don't use /n the output will be "" welcome to the world of c"""
16,,,,      you can also add the osm layer as a layer in quickmapservice by giving the link in plugin settings. 
17,,,,yes. you have to install.watch the videos and practice on  your system to learn about moodle.
18,,,,%load <filename>
19,,,,"hi malathi,admin can look at any data that has been marked by the teacher. the attendance data needs to be populated by the teacher. the plugin can be used for that, but it will not do anything automatically.thanks,priyanka"
20,,,,please follow all the steps as given in the installation sheet of the below link. ( see page 2 for windows 10).https://spoken-tutorial.org/media/videos/97/moodle-learning-management-system-installation-sheet-english.pdf
21,,,,"this setting can only be changed by the moodle site administrator. you can ask your site admin to go to site administration -> appearance -> courses and change the setting ""course summary file limits"""
22,,,,you have misspelt 'xlabel' it's xlabel not xlable. can't tell if it's only the error as you haven't shown the complete error log. hope this helps
23,,,,"you will not get any output for the above command, because you didn't specify any search ""string"". the grep command is a filter that is used to search for lines matching the specified pattern and print the matching lines to the standard output. "
24,,,,"np.zeros accepts the shape of the array i.e. the number of rows and columns of the array as an argument. so it should be either a tuple or an integer value.for example:executing np.zeros((2, 3)) gives array([[0., 0., 0.],       [0., 0., 0.]])which is a 2x3 array.executing np.zeros(2) givesarray([0., 0.])which is a 1x2 array."
25,,,,"greetings shahsajad,xampp package will not install context editor. kindly download and install it separately from the following link:http://www.contexteditor.org/downloads/"
26,,,,"  assignment 12.cpp program  #include< iostream>  using namespace std;  int main() {     cout<<"" \n name: unmani\n"";    cout<<"" \n city:nanded"";     return 0} output:\\* name: unmani*\\\\* city:nanded*\\"
27,,,,"here formula is used pv = nrt,r =0.01t = 200kv = 21cc to 100ccp = (r*t)/v = (0.01*200) / v = 2.0 / v"
28,,,,"the case file that you are using is of lower version, and in that the blockmesh dict file used to be in constant folder instead of system. so you can check tutorial files from the main setup in of."
29,,,,"dear organiser,first of all, we appreciate your efforts in successfully conducting our training session at your campus. reg. your query, there are certain timeline for the certificates to get generated. please contact the training coordinator of your state for more details.contact details of training coordinators: http://process.spoken-tutorial.org/index.php/software-training#contacts_for_trainingregards,mohamed kasim"
30,,,,"finally, i got when i installed a plugin font family maintained by projectes tac dept."
31,,,,"//error on line 14 : d1 0 net-_d1-pad2_ q2n2907aincorrect model type// this line indicates that you have selected a transistor spice model(.lib file) instead of a diode spice model, during the kicadtongspice conversion process. as for the crystal you're using, select a pulse source from esim_sources library, and set it to 32mhz frequency, as crystals aren't recognized in esim for simulation."
32,,,,"man is the linux manual page for the commands that are used.like the help menu available for any windows application, linux uses man command to get help about the commands that are used."
33,,,,i have shifted this question to libreoffice calc.
34,,,,"hi, you need to click on the button ""show hidden pins"" on the schematic editor. if i remember correctly, this button is available on the toolbar on the left. (second last button)"
35,,,,"sorry, i think that xfig is available only for linux and mac."
36,,,,watch spoken tutorial you can learn.
37,,,,abcd
38,,,,"as per the hint, find the length of vector 'x' and store it in some variable, here in 'y', for ease. then write the for loop as follows to get the desired output:x = [1 2 6 4 2]y=length(x)s=0;for i=1:y    s = s + x(i)    disp(s)end"
39,,,,re-index koha by running the below given command and then  add deleted barcode. sudo koha-rebuild-zebra -b -f -v  your instance name
40,,,,"check the units of ""product molar flow"" in the reboiler section...change it to kmol/hr if not already selected..the software by default sets the units in mol/s in that section! hope that solves your problem"
41,,,,"installed again with recommended settings.now while opening projects it still does not open with this message in the cmd:function : open kicad schematicfunction : validating for kicad componentsworker thread calling command : eeschema c:\\fossee\\esim\\examples\\halfwave_rectifier\\halfwave_rectifier.schtraceback (most recent call last):  file ""c:\\fossee\\esim\\src\\projmanagement\\worker.py"", line 36, in run    self.call_system(self.args)  file ""c:\\fossee\\esim\\src\\projmanagement\\worker.py"", line 40, in call_system    proc = subprocess.popen(command.split())  file ""c:\\python27\\lib\\subprocess.py"", line 710, in __init__    errread, errwrite)  file ""c:\\python27\\lib\\subprocess.py"", line 958, in _execute_child    startupinfo)windowserror: [error 2] the system cannot find the file specified"
42,,,,"to calculate the force, two input boxes for weight and weight of the loose pulley are given in the app.after inputting the values in these boxes app automatically calculates the force.to calculate manually use the formula for 4 pulleys:f=(w<sub>l</sub>+w<sub>p</sub>)/4to calculate the force for 6 pulleys the formula is:f=(w<sub>l</sub>+w<sub>p</sub>)/6 when you change the number of pulleys the divisor also changes accordingly."
43,,,,"mkdir is a command to create a new directory / folder.running the command will create a new directory with a user specified name, in the folder from where mkdir was executed.format:mkdir <new_name>"
44,,,,command to plot is plot((sin(x)*sin(x))/x).this should work.
45,,,,"the standard c++ library functions like cin, cout etc are defined in std namespace.""using namespace std"" tells the compiler that we will be using functions from std namespace.if we don't write this statement, we may still write the program but will need to specify ""std::"" before any function that we are using from std namespace. like, ""std::cout"" instead of directly ""cout""."
46,,,,"#include<studio.h>int main(){printf(""welcome to the"");printf (""world of c"");return 0;}so when we don't use\n then the output will be welcome to the world of c."
47,,,,"to write upper triangular matrix form of the given matrix, use command 'triu'"
48,,,,use this command in windows<environment name>\scripts\activate
49,,,,href is one of the attribute for the anchor tag.you can learn more about anchor tag in the formatting tag tutorial under html series.
50,,,,"problem: to check whether given number is even and also multiple of 11.hint for solution: step 1: check divisibility of the number by 2, using if statement. step 2:  inside if block of step 1,  write another if statement to check divisibility by 11. writing if block in another if block will check divisibility by 2 and 11 both.step 3: inside if block of step 2, write print statement saying the number is even and also divisible by 11.step 4: in the corresponding else blocks of both if statements, write print statement saying the number is not even and also divisible by 11. "
51,,,,"has your college already registered?if so, depending on your internet speed, it may take some time to load this information.  please try again."
52,,,,"we had fixed this issue and made cvpcb independent of internet connectivity. i believe your rcc has not got you the latest version. since you are using internet dependent cvpcb tool, wait a while, because that waiting time is dependent on your internet connection speed.please go ahead and try the ""pcb layout for astable multivbrator"" tutorial, we have given code files for it"
53,,,,the cat command is used in linux and macos. for windows use !type primes.txt.make sure the file primes.txt is located in the current working directory. to check the current working directory type %pwd inside ipython terminal.
54,,,,"hi,please check if lcc is installed or not. although i could not get any official sourceforge link to download lcc, i got this https://sites.google.com/site/lccretargetablecompiler/downloads"
55,,,,thanks. i did go through the earlier moodle tutorials but wanted to confirm. i have already spoken to my college moodle admin and she told guides similarly .  thanks a lot for your response 
56,,,,sure.  we shall work on that.nancy
57,,,,"open the file that you have downloaded and confirm that the last row has entries under the column course1 and role1 like this:course1: calculusrole1: studentthe last 2 columns specify that the user priya sinha is a student in calculus course. if you do not have this row in your file, please download the file again and try.do exactly as how we have demonstrated in the tutorial."
58,,,,"yes, you can use the + sign to merge / concatenate two strings"
59,,,,"1. can a row be inserted in the middle of the data frame using rbind function?- yes, we can. please refer to the solution given on https://stackoverflow.com/questions/11561856/add-new-row-to-dataframe-at-specific-row-index-not-appendedalternatively, you can use the function insertrow available in the package datacombine. for the documentation of insertrow, please refer to https://www.rdocumentation.org/packages/datacombine/versions/0.2.21/topics/insertrow2. can multiple rows be inserted at once using rbind function in a data frame?- yes, we can do so by passing those vectors separated by a comma inside the rbind function. "
60,,,,"instead of the altech, you can use some other connector, perhaps from pin_headers or sockets_strips collection. please make the number of pins on the footprint is same as the ones in the schematic"
61,,,,yes. you might want to observe that the time taken to calculate the sum using the inbuilt function is less than that calculated using a forloop. 
62,,,,"the video is low resolution which is why there it appears to have diffused, according to mentioned initial and boundary condition there should be no diffusion at 0th timestep."
63,,,,"i am showing how to measure bond length and bond angle using the features available on jmol interface and not changing them.at 5.42 min i have mentioned that i am measuring the bond length.at 6.45 min i have mentioned that i am measuring the bond angle.also once the energy of the structure is minimized using the minimize tool, the measurement of bond length and bond angle in jmol gives standard bond length and bond angle values for that particular bond."
64,,,, refer the following link for creating spine label.https://www.youtube.com/watch?v=npmnef3fngm
65,,,,"""loadtxt"" is specific for loading numeric data and not strings."
66,,,,download links are already provided to the remote centers. in future if you want to download you can go to www.spoken-tutorial.organd check instructions for downloading contentsclick on http://www.spoken-tutorial.org/create_cd_content
67,,,,pls watch the spoken tutorial - material required to construct a biogas plant. https://spoken-tutorial.org/watch/biogas+plant/material+required+to+construct+a+biogas+plant/english/
68,,,,"if there are multiple admin accounts, you can delete one of the admins, provided you are the main administrator. if there is only one admin it is not possible to do so."
69,,,,this is  search engine to search books title online from congress lib.just by using title of book we can get all tag details of that book using this tool 
70,,,,"hi,maybe you should try to upgrade to 64bit flavour as a clean upgrade.  still, you could do the upgrade on a single machine.  xampp is available in https://askubuntu.com/questions/921315/how-to-install-xampp-on-my-ubuntu-16-04-32bitdo not take anything marked x64all the best with the install.   our infrastructure runs on ubuntu 18.04 (lts) server edition.  we do not lose over head in running a graphics interface.with regards,jsp"
71,,,,"yes because,we can run c++ programs without class(oops concepts). but for java we can use class or any other oops concepts compulsory.that is why we call its pure oops."
72,,,,pls use rs. instead of the rupee symbol.  it should work.
73,,,,assignments are only for practice. no need to submit.
74,,,,"hello, please make sure that you are using the ipython interpreter console using the ``ipython`` command (note the 'i', which is different from the python interpreter console which is accessed using the ``python`` command)"
75,,,,use \\ befor _
76,,,,i got the expected results.the main issue was the direction of the velocity applied.but i did also see a difference in the pressure output after using the fixedfluxpressure.thank you divyesh & ashley.
77,,,,"you can follow step by step method explained in the video tutorials ""getting ready for moodle installation"" and ""installing moodle on local server """
78,,,,please look for tellg() in scilab help browser.
79,,,,"to answer your first question,mentioning the order of reactants depends on the factors as mentioned below:1.to specify the reaction order: if the order is 2 with respect to only one component, then you should indicate 2 for that component only. if the overall order is 2 but 1 with respect to ethanol and 1 with respect to acetic acid, then 1 should be indicated against both acetic acid and ethanol. it completely depends on your rate law equation.2. if the reaction is reversible, then do and ro should be indicated and rate constants should be specified accordingly. if the reaction happens in the forward direction only, indicate the order against do only.for your second question, in the tutorial, the effect of activation energy on the rate constant is neglected (since e value was unknown) and therefore it is completely entered as frequency factor. in case you know both the frequency factor and activation energy individually for the reaction rate, they can be entered individually and the rate constant will be calculated accordingly."
80,,,,ok sir
